Day and Hour,Distribution of the number of trips
2022-1-1 19,3639
2022-1-1 20,3380
2022-1-1 21,2629
2022-1-1 22,2629
2022-1-1 23,2465
2022-1-10 00,1397
2022-1-10 01,831
2022-1-10 02,391
2022-1-10 03,223
2022-1-10 04,199
2022-1-10 05,194
2022-1-10 06,500
2022-1-10 07,1319
2022-1-10 08,2999
2022-1-10 09,3980
2022-1-10 10,3889
2022-1-10 11,3836
2022-1-10 12,4066
2022-1-10 13,4392
2022-1-10 14,4464
2022-1-10 15,5071
2022-1-10 16,6097
2022-1-10 17,5721
2022-1-10 18,5499
2022-1-10 19,5302
2022-1-10 20,4187
2022-1-10 21,2986
2022-1-10 22,2531
2022-1-10 23,1941
2022-1-11 00,1397
2022-1-11 01,924
2022-1-11 02,424
2022-1-11 03,293
2022-1-11 04,153
2022-1-11 05,144
2022-1-11 06,406
2022-1-11 07,1332
2022-1-11 08,3138
2022-1-11 09,4306
2022-1-11 10,4288
2022-1-11 11,4278
2022-1-11 12,4300
2022-1-11 13,4456
2022-1-11 14,4491
2022-1-11 15,5169
2022-1-11 16,5839
2022-1-11 17,5302
2022-1-11 18,5818
2022-1-11 19,5868
2022-1-11 20,4416
2022-1-11 21,3283
2022-1-11 22,3011
2022-1-11 23,2409
2022-1-12 00,1591
2022-1-12 01,840
2022-1-12 02,397
2022-1-12 03,225
2022-1-12 04,141
2022-1-12 05,170
2022-1-12 06,463
2022-1-12 07,1366
2022-1-12 08,2927
2022-1-12 09,4184
2022-1-12 10,4204
2022-1-12 11,4273
2022-1-12 12,4528
2022-1-12 13,4888
2022-1-12 14,4850
2022-1-12 15,5470
2022-1-12 16,5566
2022-1-12 17,5370
2022-1-12 18,5834
2022-1-12 19,5860
2022-1-12 20,4610
2022-1-12 21,3578
2022-1-12 22,3385
2022-1-12 23,3222
2022-1-13 00,2147
2022-1-13 01,1199
2022-1-13 02,729
2022-1-13 03,380
2022-1-13 04,216
2022-1-13 05,217
2022-1-13 06,438
2022-1-13 07,1329
2022-1-13 08,3020
2022-1-13 09,4117
2022-1-13 10,4156
2022-1-13 11,4313
2022-1-13 12,4500
2022-1-13 13,4780
2022-1-13 14,5044
2022-1-13 15,5743
2022-1-13 16,5956
2022-1-13 17,5552
2022-1-13 18,5946
2022-1-13 19,6103
2022-1-13 20,5006
2022-1-13 21,4049
2022-1-13 22,3777
2022-1-13 23,3683
2022-1-14 00,2709
2022-1-14 01,1777
2022-1-14 02,997
2022-1-14 03,656
2022-1-14 04,382
2022-1-14 05,312
2022-1-14 06,533
2022-1-14 07,1362
2022-1-14 08,2787
2022-1-14 09,3747
2022-1-14 10,4002
2022-1-14 11,4155
2022-1-14 12,4485
2022-1-14 13,4922
2022-1-14 14,5133
2022-1-14 15,5738
2022-1-14 16,6312
2022-1-14 17,5999
2022-1-14 18,6529
2022-1-14 19,6668
2022-1-14 20,6479
2022-1-14 21,4707
2022-1-14 22,4502
2022-1-14 23,4831
2022-1-15 00,4344
2022-1-15 01,3632
2022-1-15 02,3001
2022-1-15 03,2219
2022-1-15 04,1461
2022-1-15 05,718
2022-1-15 06,348
2022-1-15 07,723
2022-1-15 08,1105
2022-1-15 09,1605
2022-1-15 10,2687
2022-1-15 11,2986
2022-1-15 12,8
2022-1-15 13,1
2022-1-15 14,1
